Particle index 261, connected to particle index 280, rest length: 0.707107
Particle index 261, connected to particle index 282, rest length: 0.707107
Particle index 262, connected to particle index 281, rest length: 0.707107
Particle index 262, connected to particle index 283, rest length: 0.707107
Particle index 263, connected to particle index 282, rest length: 0.707107
Particle index 263, connected to particle index 284, rest length: 0.707107
Particle index 264, connected to particle index 283, rest length: 0.707107
Particle index 264, connected to particle index 285, rest length: 0.707107
Particle index 265, connected to particle index 284, rest length: 0.707107
Particle index 265, connected to particle index 286, rest length: 0.707107
Particle index 266, connected to particle index 285, rest length: 0.707107
Particle index 266, connected to particle index 287, rest length: 0.707107
Particle index 267, connected to particle index 286, rest length: 0.707107
Particle index 267, connected to particle index 288, rest length: 0.707107
Particle index 268, connected to particle index 287, rest length: 0.707107
Particle index 268, connected to particle index 289, rest length: 0.707107
Particle index 269, connected to particle index 288, rest length: 0.707107
Particle index 269, connected to particle index 290, rest length: 0.707107
Particle index 270, connected to particle index 289, rest length: 0.707107
Particle index 270, connected to particle index 291, rest length: 0.707107
Particle index 271, connected to particle index 290, rest length: 0.707107
Particle index 271, connected to particle index 292, rest length: 0.707107
Particle index 272, connected to particle index 291, rest length: 0.707107
Particle index 272, connected to particle index 293, rest length: 0.707107
Particle index 273, connected to particle index 292, rest length: 0.707107
Particle index 273, connected to particle index 294, rest length: 0.707107
Particle index 274, connected to particle index 293, rest length: 0.707107
Particle index 274, connected to particle index 295, rest length: 0.707107
Particle index 275, connected to particle index 294, rest length: 0.707107
Particle index 275, connected to particle index 296, rest length: 0.707107
Particle index 276, connected to particle index 295, rest length: 0.707107
Particle index 276, connected to particle index 297, rest length: 0.707107
Particle index 277, connected to particle index 296, rest length: 0.707107
Particle index 277, connected to particle index 298, rest length: 0.707107
Particle index 278, connected to particle index 297, rest length: 0.707107
Particle index 278, connected to particle index 299, rest length: 0.707107
Particle index 279, connected to particle index 298, rest length: 0.707107
Particle index 280, connected to particle index 301, rest length: 0.707107
Particle index 281, connected to particle index 300, rest length: 0.707107
Particle index 281, connected to particle index 302, rest length: 0.707107
Particle index 282, connected to particle index 301, rest length: 0.707107
Particle index 282, connected to particle index 303, rest length: 0.707107
